Initial upper_bound: 7589151.9, lower_bound: 1442895.9, init_target_latency: 4516023.9, diff_threshold_ns: 1000000
Search segment 1, latency: 7470568.22, target: 4516023.9, partition: [18 26 87  1], latencies(ns): [ 4464641  7470568 39262587   580337]
Search segment 1, latency: 7230999.41, target: 4516023.9, partition: [18 25 88  1], latencies(ns): [ 4464641  7230999 39355741   580337]
Search segment 1, latency: 7273092.15, target: 4516023.9, partition: [18 24 89  1], latencies(ns): [ 4464641  7273092 40097146   580337]
Search segment 1, latency: 6630944.74, target: 4516023.9, partition: [18 23 90  1], latencies(ns): [ 4464641  6630944 39614680   580337]
Search segment 1, latency: 6685860.52, target: 4516023.9, partition: [18 22 91  1], latencies(ns): [ 4464641  6685860 39674358   580337]
Search segment 1, latency: 4700995.99, target: 4516023.9, partition: [18 21 92  1], latencies(ns): [ 4464641  4700995 42524579   580337]
Search segment 1, latency: 5039341.67, target: 4516023.9, partition: [18 20 93  1], latencies(ns): [ 4464641  5039341 43040105   580337]
Search segment 1, latency: 4689162.42, target: 4516023.9, partition: [18 19 94  1], latencies(ns): [ 4464641  4689162 43135982   580337]
Search segment 1, latency: 4469874.37, target: 4516023.9, partition: [18 18 95  1], latencies(ns): [ 4464641  4469874 42905850   580337]
Search segment 2, latency: 42905850.2, target: 4516023.9, partition: [18 18 95  1], latencies(ns): [ 4464641  4469874 42905850   580337]
Search segment 2, latency: 42920535.53, target: 4516023.9, partition: [18 18 94  2], latencies(ns): [ 4464641  4469874 42920535       -1]
Search segment 2, latency: 42922524.27, target: 4516023.9, partition: [18 18 93  3], latencies(ns): [ 4464641  4469874 42922524   433976]
Search segment 2, latency: 43119410.85, target: 4516023.9, partition: [18 18 92  4], latencies(ns): [ 4464641  4469874 43119410   872951]
Search segment 2, latency: 43203640.2, target: 4516023.9, partition: [18 18 91  5], latencies(ns): [ 4464641  4469874 43203640  1132199]
Search segment 2, latency: 42106428.69, target: 4516023.9, partition: [18 18 90  6], latencies(ns): [ 4464641  4469874 42106428  2964077]
Search segment 2, latency: 42074387.79, target: 4516023.9, partition: [18 18 89  7], latencies(ns): [ 4464641  4469874 42074387  2959427]
Search segment 2, latency: 42069347.77, target: 4516023.9, partition: [18 18 88  8], latencies(ns): [ 4464641  4469874 42069347  2984026]
Search segment 2, latency: 41048506.36, target: 4516023.9, partition: [18 18 87  9], latencies(ns): [ 4464641  4469874 41048506  4000098]
Search segment 2, latency: 39916855.41, target: 4516023.9, partition: [18 18 86 10], latencies(ns): [ 4464641  4469874 39916855  4905116]
